state,adoption_2024,adoption_2028
Australian Capital Territory,0.75,0.825
Victoria,0.72,0.792
New South Wales,0.68,0.748
Queensland,0.61,0.72
Western Australia,0.59,0.696
South Australia,0.55,0.649
Tasmania,0.48,0.538
Northern Territory,0.46,0.515
