year,ai_pct,non_ai_pct
2015,0.2,1.0
2016,0.3,0.9
2017,0.3,0.9
2018,0.4,0.8
2019,0.6,0.6
2020,0.6,0.6
2021,1.0,0.2
2022,0.9,0.3
2023,0.8,0.4
2024,0.9,0.3
