industry,adopting,not_adopting,not_aware
Services,48,37,15
Retail trade,45,36,19
Distribution,35,32,33
Construction,34,41,25
Agriculture,32,37,30
Health and education,31,41,28
Hospitality,31,42,27
Manufacturing,30,51,19
