sector,companies
Business processes and support services,494
IT infrastructure and hosting,346
Media social platforms and marketing,255
Healthcare drugs and biotechnology,184
Education and training,166
Digital security,163
Financial and insurance services,132
Government security and defence,99
Logistics wholesale and retail,93
Environmental services,90
