year,pct,note
2015,0.2,Exact — stated in report
2016,0.3,Estimated from Figure 16b
2017,0.3,Estimated from Figure 16b
2018,0.4,Estimated from Figure 16b
2019,0.6,Estimated from Figure 16b
2020,0.6,Estimated from Figure 16b
2021,1.0,Exact — stated in report
2022,0.9,Estimated from Figure 16b
2023,0.8,Estimated from Figure 16b
2024,0.9,Exact — stated in report
